parameter_name,Cholesterol ratio
parameter_id,IMPC_CBC_058_001
mouse_strain,129SV
mouse_life_stage,Early adult
gene_symbol,Cntfr
pvalue,0.1420531
gene_accession_id,MGI:99605
analysis_id,h582508s4wu3by1
