gene_symbol,Bmp7
analysis_id,v008rdxx06v70df
parameter_name,% Pre-pulse inhibition - PPI2
parameter_id,IMPC_ACS_034_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1312546
gene_accession_id,MGI:103302
