parameter_name,Periphery - Permanence Time
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1916043
pvalue,0.1307672
gene_symbol,Rab3gap2
analysis_id,61t6zlngdbx1n7e
parameter_id,M-G-P_007_001_008
