gene_symbol,Hrnr
analysis_id,2g55ua1ofa44ym9
parameter_name,Follicular B Cells (CD21/35+)
gene_accession_id,MGI:3046938
pvalue,0.2452132
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_IMM_067_001
