parameter_name,White blood cell count
gene_accession_id,MGI:97838
gene_symbol,Eprs1
parameter_id,HMGULA_HEM_001_001
analysis_id,d1y468y5y881sh8
mouse_life_stage,E9.5
pvalue,0.06753674
mouse_strain,C57BL
