analysis_id,0ilb2950zu10mg4
gene_symbol,Exd1
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:3045306
mouse_strain,C51BL
parameter_name,Alkaline phosphatase
pvalue,0.1357282
mouse_life_stage,Early adult
