analysis_id,9htso6d0m6mr08d
mouse_strain,C57BL
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,Early adult
parameter_name,Right kidney weight
parameter_id,IMPC_OWT_004_001
pvalue,0.4528053
