parameter_name,Neutrophil percentage
gene_symbol,Toporsl
mouse_life_stage,Early adult
parameter_id,MGP_PBI_019_001
gene_accession_id,MGI:1915524
analysis_id,4yetm4ql72nm236
pvalue,0.2871084
mouse_strain,C57BL
