gene_symbol,Cd52
gene_accession_id,MGI:1346088
parameter_name,Pericardium Morphology
pvalue,0.7770223
mouse_life_stage,Early adult
analysis_id,1ljshpxw5b13o48
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
