parameter_id,IMPC_LDT_008_001
pvalue,0.6790676
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
analysis_id,lx3m15936a3p239
mouse_strain,C57BL
gene_symbol,Dmap1
parameter_name,Percent time in light
