parameter_name,% Freezing duration habituation-1
analysis_id,pa7a631613x961i
gene_accession_id,MGI:1914071
pvalue,0.6320419
parameter_id,ICS_FEA_016_001
mouse_strain,C57BL
gene_symbol,Bcs1l
mouse_life_stage,Early adult
