parameter_name,Embryo turning
analysis_id,0qeym86vbe18smb
pvalue,0.1977333
gene_accession_id,MGI:95457
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_symbol,Mecom
parameter_id,IMPC_GEL_011_001
