analysis_id,ij2wp44h51r1tr1
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
pvalue,0.0661339
mouse_life_stage,Early adult
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
mouse_strain,129SV
