analysis_id,yeuwrsmh2244i1w
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,IMPC_ECH_005_001
pvalue,0.2236837
gene_symbol,Lpgat1
parameter_name,Fractional Shortening
mouse_life_stage,Late adult
