analysis_id,4051mg4c7502737
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Nucks1
gene_accession_id,MGI:1934811
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
pvalue,0.7628343
