gene_symbol,Toporsl
mouse_life_stage,Early adult
pvalue,0.9123183
parameter_id,MGP_MLN_033_001
gene_accession_id,MGI:1915524
mouse_strain,C57BL
parameter_name,Resting NK cells - % of NK cells
analysis_id,3o828f7i300bw3p
