analysis_id,3239sfqk9ky4996
gene_symbol,AU040320
parameter_id,MGP_PBI_030_001
pvalue,0.1453843
gene_accession_id,MGI:2140475
parameter_name,CD8+ CD44+ CD62L- alpha beta effector T cell number
mouse_strain,C57BL
mouse_life_stage,Late adult
