gene_symbol,Snap23
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_ACS_033_001
gene_accession_id,MGI:109356
parameter_name,% Pre-pulse inhibition - PPI1
analysis_id,8qnddcz0dx93ogr
pvalue,0.4020037
