analysis_id,188j61822hvmio8
pvalue,0.814478
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2385884
mouse_strain,C57BL
gene_symbol,Ddx27
parameter_id,MGP_MLN_001_001
