analysis_id,a4fp9335u493zv3
pvalue,0.5701124
mouse_life_stage,Early adult
parameter_name,Eosinophils - % of CD45+
parameter_id,MGP_IMM_125_001
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
mouse_strain,C57BL
