analysis_id,z9g4hrb1c13924z
mouse_life_stage,Early adult
gene_accession_id,MGI:95576
parameter_name,Basophil cell count
parameter_id,IMPC_HEM_037_001
mouse_strain,C57BL
gene_symbol,Fpgs
pvalue,0.05692205
