analysis_id,00lsjs6pk723fk7
gene_accession_id,MGI:1919107
gene_symbol,Slc17a9
parameter_id,MGP_PBI_002_001
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.3470876
parameter_name,Alpha beta T cell percentage
