analysis_id,5wa0brb79t0b8ld
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914515
parameter_name,CV
parameter_id,IMPC_ECG_003_001
gene_symbol,Slc39a10
pvalue,0.8791396
