analysis_id,19m7je86m172l2o
parameter_name,Joints
pvalue,0.6414076
parameter_id,IMPC_XRY_027_001
gene_accession_id,MGI:1914071
mouse_life_stage,E9.5
mouse_strain,C57BL
gene_symbol,Bcs1l
