gene_symbol,Mgst2
mouse_life_stage,Early adult
pvalue,0.5408294
analysis_id,1839s7gu3oablfb
parameter_id,M-G-P_014_001_001
gene_accession_id,MGI:2448481
mouse_strain,C57BL
parameter_name,Eye
