gene_symbol,Atrn
mouse_life_stage,Early adult
parameter_name,Weight
analysis_id,54qbkynbv3e9c46
parameter_id,CCP_LFO_001_001
gene_accession_id,MGI:1341628
mouse_strain,C57BL
pvalue,0.6139787
