analysis_id,345o5w5zn34xgzw
mouse_strain,C57BL
parameter_name,Limb morphology
gene_symbol,Ints7
mouse_life_stage,Early adult
pvalue,0.4797304
parameter_id,IMPC_GEP_084_001
gene_accession_id,MGI:1924315
