gene_symbol,Morn5
pvalue,0.3291877
parameter_id,MGP_PBI_033_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1922745
parameter_name,CD8+ KLRG1+ alpha beta T cell number
analysis_id,vu9hr373otc2627
mouse_strain,C57BL
