analysis_id,jvo5ay1971wa4rf
gene_symbol,Lpgat1
mouse_life_stage,E18.5
pvalue,0.4642372
parameter_name,Thyroxine
gene_accession_id,MGI:2446186
parameter_id,IMPC_CBC_053_001
mouse_strain,C57BL
