parameter_id,UCDLA_EYE_017_001
parameter_name,Lens Opacity
gene_accession_id,MGI:1336200
mouse_strain,C57BL
analysis_id,i40z15261c5489l
mouse_life_stage,Middle aged adult
pvalue,0.5931347
gene_symbol,Hpca
