parameter_name,Vocalization
pvalue,0.9564863
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_078_001
gene_symbol,Cd52
analysis_id,mv467l46b645250
gene_accession_id,MGI:1346088
