parameter_name,Chloride
analysis_id,j100r29121009wo
parameter_id,IMPC_CBC_003_001
gene_symbol,Bmi1
pvalue,0.1793259
gene_accession_id,MGI:88174
mouse_life_stage,E15.5
mouse_strain,C57BL
