gene_symbol,Steap3
mouse_life_stage,Early adult
gene_accession_id,MGI:1915678
pvalue,0.9920588
parameter_name,Aggression
analysis_id,513vfc94bkbd9gv
mouse_strain,C57BL
parameter_id,IMPC_CSD_079_001
