analysis_id,zzo595h1x31190c
gene_accession_id,MGI:2685277
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_symbol,Zyg11b
pvalue,0.9419364
