parameter_name,NK Subsets (Q2)
gene_accession_id,MGI:1913396
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,50jt9n9qzv4n75y
gene_symbol,Maco1
pvalue,0.380237
parameter_id,IMPC_IMM_055_001
