parameter_name,BMC/Body weight
gene_accession_id,MGI:1913396
mouse_strain,C57BL
gene_symbol,Maco1
pvalue,0.7043999
mouse_life_stage,Early adult
parameter_id,JAXLA_DXA_007_001
analysis_id,hyy38nv636nk754
