gene_symbol,Snap23
gene_accession_id,MGI:109356
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.7154204
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_IMM_101_001
analysis_id,3tmu5b3ekt03p89
