parameter_id,JAXLA_HBD_001_001
gene_accession_id,MGI:3046938
analysis_id,41a582l843w8372
pvalue,0.5353001
parameter_name,Total holepokes
gene_symbol,Hrnr
mouse_strain,C57BL
mouse_life_stage,Early adult
