gene_symbol,Alkbh3
mouse_life_stage,Early adult
pvalue,0.4461769
parameter_id,MGP_MLN_013_001
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_accession_id,MGI:1916363
analysis_id,h7i0xjrs6j93021
