gene_symbol,Rnf114
pvalue,0.3910225
analysis_id,1a8219ssnei7o41
gene_accession_id,MGI:1933159
parameter_id,IMPC_CSD_028_001
mouse_life_stage,Early adult
parameter_name,Snout size
mouse_strain,C57BL
