gene_symbol,Pum1
mouse_strain,C57BL
gene_accession_id,MGI:1931749
mouse_life_stage,Early adult
pvalue,0.4148453
parameter_id,IMPC_CBC_025_001
parameter_name,LDL-cholesterol
analysis_id,4g0bdtvq7ek5u60
