gene_symbol,Fgb
mouse_strain,C57BL
analysis_id,3lbk2uc54i1t11q
mouse_life_stage,Early adult
parameter_id,MGP_IMM_033_001
gene_accession_id,MGI:99501
parameter_name,Total NK cells - % of CD45+
pvalue,0.6495191
