parameter_id,M-G-P_016_001_005
analysis_id,a8j223zqui6tfhz
parameter_name,Mean-cell-volume
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1338032
pvalue,0.510609
gene_symbol,Sema6c
