analysis_id,740i6611890545w
pvalue,0.9403386
parameter_id,ESLIM_007_001_003
parameter_name,Whole arena resting time
mouse_life_stage,Early adult
gene_symbol,Nipal3
mouse_strain,129SV
gene_accession_id,MGI:1921802
