analysis_id,is67mp7i9j107h1
mouse_strain,C57BL
parameter_id,MGP_MLN_064_001
pvalue,0.1418714
mouse_life_stage,Late adult
gene_accession_id,MGI:1917604
parameter_name,Total CD4+ T cells - % of CD45+
gene_symbol,Secisbp2l
