mouse_strain,129SV
gene_symbol,Arpc2
analysis_id,wwv0k5lpgv3y5u3
parameter_name,Head morphology
mouse_life_stage,Early adult
parameter_id,MGP_CSD_064_001
pvalue,0.3265367
gene_accession_id,MGI:1923959
