gene_symbol,Morn5
mouse_life_stage,Early adult
pvalue,0.2163115
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:1922745
parameter_id,MGP_BMI_019_001
analysis_id,15e0881wsk2499i
mouse_strain,C57BL
