parameter_name,Respiration Rate
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
pvalue,0.1494741
mouse_strain,C57BL
analysis_id,6ttkf7b6pj36r67
