analysis_id,icaj8z726a6389f
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1914256
mouse_strain,C57BL
gene_symbol,Cisd2
mouse_life_stage,Early adult
parameter_name,Retina (combined)
pvalue,0.1226507
