gene_symbol,Cmpk1
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_id,M-G-P_009_001_003
mouse_life_stage,Early adult
parameter_name,Body weight
analysis_id,003y17tzwl3szzc
pvalue,0.2549755
