analysis_id,s43bp7w04w3g166
pvalue,0.05509872
mouse_life_stage,Early adult
parameter_name,Haemoglobin
gene_accession_id,MGI:1924360
mouse_strain,C57BL
gene_symbol,Gpbp1l1
parameter_id,ESLIM_016_001_003
