parameter_id,JAX_LDT_004_001
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_name,Dark side time spent
gene_accession_id,MGI:1345282
analysis_id,j5nje3560y2v86b
gene_symbol,Slc30a4
pvalue,0.14187
