analysis_id,0m19z439jxil6ji
mouse_strain,C57BL
parameter_id,UCDLA_EYE_083_001
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
gene_symbol,Bmi1
parameter_name,Vitreous
pvalue,0.7729814
