parameter_name,Edema
gene_accession_id,MGI:2684980
mouse_life_stage,Early adult
pvalue,0.4614967
mouse_strain,129SV
analysis_id,eyw268tva3633be
gene_symbol,Mms22l
parameter_id,IMPC_GEO_064_001
