parameter_id,JAXLA_DXA_007_001
mouse_life_stage,Early adult
analysis_id,nj5b5o680xn948s
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
mouse_strain,C57BL
parameter_name,BMC/Body weight
pvalue,0.4953277
