analysis_id,809b7b77ca4uuz1
mouse_strain,C57BL
gene_accession_id,MGI:97054
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_058_001
pvalue,0.4579329
parameter_name,Cholesterol ratio
gene_symbol,Mov10
