parameter_name,Ly6Clow monocyte number
mouse_life_stage,Early adult
analysis_id,4lr04zua987o7jn
pvalue,0.8510414
parameter_id,MGP_PBI_038_001
gene_accession_id,MGI:2135738
mouse_strain,C57BL
gene_symbol,Abo
