gene_symbol,Mgst2
mouse_strain,C57BL
gene_accession_id,MGI:2448481
parameter_id,IMPC_IPG_011_001
analysis_id,7r6a12p1g9g73n7
pvalue,0.8533328
mouse_life_stage,Early adult
parameter_name,Initial response to glucose challenge
