analysis_id,rr35b7c7hh00984
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
gene_symbol,Rap2b
parameter_name,Ly6Clow monocyte number
pvalue,0.7056887
mouse_life_stage,Early adult
gene_accession_id,MGI:1921262
