analysis_id,44520f3j8l296ru
pvalue,0.6755681
mouse_strain,C57BL
parameter_id,ESLIM_007_001_009
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
parameter_name,Periphery average speed
