analysis_id,i1h654b2d697pq8
gene_symbol,Col6a3
pvalue,0.8356318
parameter_id,JAXLA_CSD_022_001
parameter_name,Hindlimbs - size
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
