parameter_name,Body position
gene_symbol,Mecom
parameter_id,ESLIM_008_001_001
gene_accession_id,MGI:95457
analysis_id,0iv75480n65mc69
pvalue,0.9131743
mouse_life_stage,E12.5
mouse_strain,C57BL
