analysis_id,n75g0wbh884duz9
pvalue,0.1380386
mouse_strain,C57BL
gene_symbol,Ahctf1
gene_accession_id,MGI:1915033
parameter_name,Prepulse inhibition - PP3
parameter_id,ESLIM_011_001_703
mouse_life_stage,Early adult
