analysis_id,75tuybtn151f458
gene_accession_id,MGI:2442483
mouse_strain,C57BL
parameter_id,HRWLLA_CBC_014_001
mouse_life_stage,Early adult
pvalue,0.2641208
parameter_name,Alkaline phosphatase
gene_symbol,Usp37
